date,branch_id,branch_name,city,category,covers,orders,revenue,food_cost,is_weekend,month,year,quarter,is_outlier,gross_profit,gross_margin
2022-01-01,BR003,Guadalajara,Guadalajara,Alcohol,44,20,2327.7,513.12,True,1,2022,1,False,1814.58,0.7795592215491688
2022-01-01,BR004,Monterrey,Monterrey,Starters,51,28,2558.82,736.18,True,1,2022,1,False,1822.6400000000003,0.7122970744327465
2022-01-01,BR004,Monterrey,Monterrey,Main Course,51,52,9951.29,3215.59,True,1,2022,1,False,6735.700000000001,0.6768670192507705
2022-01-01,BR004,Monterrey,Monterrey,Desserts,51,22,1541.36,373.63,True,1,2022,1,False,1167.73,0.7575971868998806
2022-01-01,BR004,Monterrey,Monterrey,Beverages,51,39,2274.6,404.87,True,1,2022,1,False,1869.73,0.8220038688120989
2022-01-01,BR004,Monterrey,Monterrey,Alcohol,51,21,2652.55,575.2,True,1,2022,1,False,2077.3500000000004,0.7831520612241052
2022-01-02,BR001,Downtown,Mexico City,Starters,71,42,3364.9,970.64,True,1,2022,1,False,2394.26,0.7115397188623733
2022-01-02,BR001,Downtown,Mexico City,Main Course,71,61,11835.36,3890.42,True,1,2022,1,False,7944.9400000000005,0.6712884103229644
2022-01-02,BR001,Downtown,Mexico City,Desserts,71,26,1795.72,463.09,True,1,2022,1,False,1332.63,0.7421145835653666
2022-01-02,BR001,Downtown,Mexico City,Beverages,71,62,3856.31,712.96,True,1,2022,1,False,3143.35,0.8151185978305686
2022-01-02,BR001,Downtown,Mexico City,Alcohol,71,29,3401.19,719.52,True,1,2022,1,False,2681.67,0.7884505129087173
2022-01-02,BR002,Polanco,Mexico City,Starters,84,51,4217.71,1129.42,True,1,2022,1,False,3088.29,0.7322196168062763
2022-01-02,BR002,Polanco,Mexico City,Main Course,84,76,13297.36,4352.86,True,1,2022,1,False,8944.5,0.6726523159484288
2022-01-02,BR002,Polanco,Mexico City,Desserts,84,34,2707.98,675.11,True,1,2022,1,False,2032.87,0.7506960908130783
2022-01-02,BR002,Polanco,Mexico City,Beverages,84,65,4033.06,744.88,True,1,2022,1,False,3288.18,0.8153064918449019
2022-01-02,BR002,Polanco,Mexico City,Alcohol,84,38,4757.7,1046.04,True,1,2022,1,False,3711.66,0.7801374613783971
2022-01-02,BR003,Guadalajara,Guadalajara,Starters,51,30,2356.37,633.91,True,1,2022,1,False,1722.46,0.7309802789884441
2022-01-02,BR003,Guadalajara,Guadalajara,Main Course,51,43,7908.93,2483.87,True,1,2022,1,False,5425.06,0.6859410817898249
2022-01-02,BR003,Guadalajara,Guadalajara,Desserts,51,20,1597.82,389.44,True,1,2022,1,False,1208.3799999999999,0.7562679150342341
2022-01-02,BR003,Guadalajara,Guadalajara,Beverages,51,42,2623.04,459.34,True,1,2022,1,False,2163.7,0.8248825789923142
2022-01-02,BR003,Guadalajara,Guadalajara,Alcohol,51,21,2435.23,517.6,True,1,2022,1,False,1917.63,0.787453341162847
2022-01-02,BR004,Monterrey,Monterrey,Starters,57,36,3125.31,907.59,True,1,2022,1,False,2217.72,0.7096000076792381
2022-01-02,BR004,Monterrey,Monterrey,Main Course,57,57,9745.47,3240.97,True,1,2022,1,False,6504.5,0.6674383072340278
2022-01-02,BR004,Monterrey,Monterrey,Desserts,57,22,1731.16,449.93,True,1,2022,1,False,1281.23,0.7400991242866055
2022-01-02,BR004,Monterrey,Monterrey,Beverages,57,46,2587.8,453.13,True,1,2022,1,False,2134.67,0.8248975964139423
2022-01-02,BR004,Monterrey,Monterrey,Alcohol,57,25,3152.65,718.6,True,1,2022,1,False,2434.05,0.7720647709070148
2022-01-03,BR001,Downtown,Mexico City,Starters,43,25,2096.92,570.82,False,1,2022,1,False,1526.1,0.7277816988726322
2022-01-03,BR001,Downtown,Mexico City,Main Course,43,37,6486.96,2167.77,False,1,2022,1,False,4319.1900000000005,0.6658265196640646
2022-01-03,BR001,Downtown,Mexico City,Desserts,43,16,1203.61,307.01,False,1,2022,1,False,896.5999999999999,0.74492568190693
2022-01-03,BR001,Downtown,Mexico City,Beverages,43,35,2258.52,425.33,False,1,2022,1,False,1833.19,0.8116775587552911
2022-01-03,BR001,Downtown,Mexico City,Alcohol,43,18,2159.05,465.53,False,1,2022,1,False,1693.5200000000002,0.7843820198698502
2022-01-03,BR002,Polanco,Mexico City,Starters,47,25,2162.25,605.59,False,1,2022,1,False,1556.6599999999999,0.7199260030061279
2022-01-03,BR002,Polanco,Mexico City,Main Course,47,40,6945.0,2313.13,False,1,2022,1,False,4631.87,0.6669359251259899
2022-01-03,BR002,Polanco,Mexico City,Desserts,47,17,1202.56,300.32,False,1,2022,1,False,902.24,0.7502660989888239
2022-01-03,BR002,Polanco,Mexico City,Beverages,47,43,2473.52,452.9,False,1,2022,1,False,2020.62,0.8169006112746208
2022-01-03,BR002,Polanco,Mexico City,Alcohol,47,22,2529.18,569.12,False,1,2022,1,False,1960.06,0.7749784515139294
2022-01-03,BR003,Guadalajara,Guadalajara,Starters,32,19,1649.5,463.51,False,1,2022,1,False,1185.99,0.7189996968778418
2022-01-03,BR003,Guadalajara,Guadalajara,Main Course,32,27,5120.73,1609.27,False,1,2022,1,False,3511.4599999999996,0.6857342605448832
2022-01-03,BR003,Guadalajara,Guadalajara,Desserts,32,11,764.38,192.83,False,1,2022,1,False,571.55,0.7477301865564248
2022-01-03,BR003,Guadalajara,Guadalajara,Beverages,32,28,1550.06,279.35,False,1,2022,1,False,1270.71,0.8197811697611705
2022-01-03,BR003,Guadalajara,Guadalajara,Alcohol,32,13,1596.24,339.74,False,1,2022,1,False,1256.5,0.7871623314789756
2022-01-03,BR004,Monterrey,Monterrey,Starters,35,20,1818.79,490.8,False,1,2022,1,False,1327.99,0.7301502647364457
2022-01-03,BR004,Monterrey,Monterrey,Main Course,35,32,5403.78,1802.65,False,1,2022,1,False,3601.1299999999997,0.666409439318403
2022-01-03,BR004,Monterrey,Monterrey,Desserts,35,15,1081.43,274.68,False,1,2022,1,False,806.75,0.7460029775389992
2022-01-03,BR004,Monterrey,Monterrey,Beverages,35,31,1876.43,338.76,False,1,2022,1,False,1537.67,0.8194656875023316
2022-01-03,BR004,Monterrey,Monterrey,Alcohol,35,14,1570.63,359.26,False,1,2022,1,False,1211.3700000000001,0.7712637604018769
2022-01-04,BR001,Downtown,Mexico City,Starters,57,35,2898.38,799.31,False,1,2022,1,False,2099.07,0.7242218066644126
2022-01-04,BR001,Downtown,Mexico City,Main Course,57,56,10720.46,3563.34,False,1,2022,1,False,7157.119999999999,0.6676131434658586
2022-01-04,BR001,Downtown,Mexico City,Desserts,57,24,1840.91,441.09,False,1,2022,1,False,1399.8200000000002,0.7603956738786796
2022-01-04,BR001,Downtown,Mexico City,Beverages,57,45,2872.18,522.49,False,1,2022,1,False,2349.6899999999996,0.8180859138354838
2022-01-04,BR001,Downtown,Mexico City,Alcohol,57,23,2584.01,577.78,False,1,2022,1,False,2006.2300000000002,0.776401794110704
2022-01-04,BR002,Polanco,Mexico City,Starters,43,24,2055.91,586.7,False,1,2022,1,False,1469.2099999999998,0.7146275858379014
2022-01-04,BR002,Polanco,Mexico City,Main Course,43,42,7226.48,2361.54,False,1,2022,1,False,4864.94,0.6732101936212375
2022-01-04,BR002,Polanco,Mexico City,Desserts,43,16,1166.48,298.81,False,1,2022,1,False,867.6700000000001,0.7438361566422057
2022-01-04,BR002,Polanco,Mexico City,Beverages,43,37,2344.04,428.58,False,1,2022,1,False,1915.46,0.817161823177079
2022-01-04,BR002,Polanco,Mexico City,Alcohol,43,19,2131.77,462.79,False,1,2022,1,False,1668.98,0.7829080998419155
2022-01-04,BR003,Guadalajara,Guadalajara,Starters,31,17,1554.36,430.57,False,1,2022,1,False,1123.79,0.7229920996422965
2022-01-04,BR003,Guadalajara,Guadalajara,Main Course,31,31,5697.08,1876.81,False,1,2022,1,False,3820.27,0.6705663252051929
2022-01-04,BR003,Guadalajara,Guadalajara,Desserts,31,12,911.07,227.6,False,1,2022,1,False,683.47,0.7501838497590745
2022-01-04,BR003,Guadalajara,Guadalajara,Beverages,31,24,1491.25,262.54,False,1,2022,1,False,1228.71,0.8239463537300922
2022-01-04,BR003,Guadalajara,Guadalajara,Alcohol,31,12,1473.52,313.71,False,1,2022,1,False,1159.81,0.7871016341820946
2022-01-04,BR004,Monterrey,Monterrey,Starters,38,24,2175.41,601.21,False,1,2022,1,False,1574.1999999999998,0.7236337058301653
2022-01-04,BR004,Monterrey,Monterrey,Main Course,38,32,6154.74,1955.37,False,1,2022,1,False,4199.37,0.6822985211398045
2022-01-04,BR004,Monterrey,Monterrey,Desserts,38,16,1289.02,333.63,False,1,2022,1,False,955.39,0.7411754666335666
2022-01-04,BR004,Monterrey,Monterrey,Beverages,38,30,1766.91,329.21,False,1,2022,1,False,1437.7,0.8136803798722063
2022-01-04,BR004,Monterrey,Monterrey,Alcohol,38,16,1818.47,402.34,False,1,2022,1,False,1416.13,0.7787480684311537
2022-01-05,BR001,Downtown,Mexico City,Starters,57,35,3008.35,808.41,False,1,2022,1,False,2199.94,0.7312779430584873
2022-01-05,BR001,Downtown,Mexico City,Main Course,57,55,10676.25,3293.44,False,1,2022,1,False,7382.8099999999995,0.6915171525582484
2022-01-05,BR001,Downtown,Mexico City,Desserts,57,22,1749.63,447.94,False,1,2022,1,False,1301.69,0.74398015580437
2022-01-05,BR001,Downtown,Mexico City,Beverages,57,50,3097.19,549.66,False,1,2022,1,False,2547.53,0.8225294541180878
2022-01-05,BR001,Downtown,Mexico City,Alcohol,57,24,3022.55,685.58,False,1,2022,1,False,2336.9700000000003,0.7731782766207342
2022-01-05,BR002,Polanco,Mexico City,Starters,56,36,3065.55,858.49,False,1,2022,1,False,2207.0600000000004,0.7199556360196376
2022-01-05,BR002,Polanco,Mexico City,Main Course,56,56,10321.86,3369.71,False,1,2022,1,False,6952.150000000001,0.6735365525205729
2022-01-05,BR002,Polanco,Mexico City,Desserts,56,23,1832.64,450.74,False,1,2022,1,False,1381.9,0.7540488039112974
2022-01-05,BR002,Polanco,Mexico City,Beverages,56,46,2580.7,468.16,False,1,2022,1,False,2112.54,0.818591854923083
2022-01-05,BR002,Polanco,Mexico City,Alcohol,56,22,2625.47,580.07,False,1,2022,1,False,2045.3999999999996,0.7790605110703988
2022-01-05,BR003,Guadalajara,Guadalajara,Starters,31,18,1415.07,377.89,False,1,2022,1,False,1037.1799999999998,0.7329531401273435
2022-01-05,BR003,Guadalajara,Guadalajara,Main Course,31,31,5455.18,1680.55,False,1,2022,1,False,3774.63,0.6919350048944306
2022-01-05,BR003,Guadalajara,Guadalajara,Desserts,31,12,938.88,228.05,False,1,2022,1,False,710.8299999999999,0.7571042092706203
2022-01-05,BR003,Guadalajara,Guadalajara,Beverages,31,26,1456.5,250.42,False,1,2022,1,False,1206.08,0.828067284586337
2022-01-05,BR003,Guadalajara,Guadalajara,Alcohol,31,14,1690.92,377.12,False,1,2022,1,False,1313.8000000000002,0.7769734818915147
2022-01-05,BR004,Monterrey,Monterrey,Starters,36,23,1960.1,539.11,False,1,2022,1,False,1420.9899999999998,0.7249579103106983
2022-01-05,BR004,Monterrey,Monterrey,Main Course,36,36,6242.4,1985.38,False,1,2022,1,False,4257.0199999999995,0.6819524541842881
2022-01-05,BR004,Monterrey,Monterrey,Desserts,36,13,900.95,235.66,False,1,2022,1,False,665.2900000000001,0.7384316554747766
2022-01-05,BR004,Monterrey,Monterrey,Beverages,36,32,1980.2,353.19,False,1,2022,1,False,1627.01,0.8216392283607716
2022-01-05,BR004,Monterrey,Monterrey,Alcohol,36,15,1701.05,364.89,False,1,2022,1,False,1336.1599999999999,0.7854913141882954
2022-01-06,BR001,Downtown,Mexico City,Starters,51,31,2702.54,740.06,False,1,2022,1,False,1962.48,0.7261613149111577
2022-01-06,BR001,Downtown,Mexico City,Main Course,51,52,9716.27,3126.11,False,1,2022,1,False,6590.16,0.678260278893032
2022-01-06,BR001,Downtown,Mexico City,Desserts,51,20,1480.7,360.84,False,1,2022,1,False,1119.8600000000001,0.7563044505976904
2022-01-06,BR001,Downtown,Mexico City,Beverages,51,42,2623.96,449.38,False,1,2022,1,False,2174.58,0.8287397673745026
2022-01-06,BR001,Downtown,Mexico City,Alcohol,51,21,2336.95,490.52,False,1,2022,1,False,1846.4299999999998,0.7901024840069321
2022-01-06,BR002,Polanco,Mexico City,Starters,56,34,2878.06,773.45,False,1,2022,1,False,2104.6099999999997,0.7312599459358039
2022-01-06,BR002,Polanco,Mexico City,Main Course,56,53,9499.51,2940.5,False,1,2022,1,False,6559.01,0.6904577183454725
2022-01-06,BR002,Polanco,Mexico City,Desserts,56,22,1623.21,410.5,False,1,2022,1,False,1212.71,0.7471060429642499
2022-01-06,BR002,Polanco,Mexico City,Beverages,56,48,2670.48,474.66,False,1,2022,1,False,2195.82,0.8222566729576706
2022-01-06,BR002,Polanco,Mexico City,Alcohol,56,25,3001.51,683.87,False,1,2022,1,False,2317.6400000000003,0.7721580137997208
2022-01-06,BR003,Guadalajara,Guadalajara,Starters,35,19,1504.03,427.13,False,1,2022,1,False,1076.9,0.7160096540627515
2022-01-06,BR003,Guadalajara,Guadalajara,Main Course,35,30,5474.11,1828.83,False,1,2022,1,False,3645.2799999999997,0.6659128150512138
2022-01-06,BR003,Guadalajara,Guadalajara,Desserts,35,14,1031.21,261.5,False,1,2022,1,False,769.71,0.7464144063769746
2022-01-06,BR003,Guadalajara,Guadalajara,Beverages,35,29,1752.7,329.41,False,1,2022,1,False,1423.29,0.8120556855137787
2022-01-06,BR003,Guadalajara,Guadalajara,Alcohol,35,15,1932.82,442.46,False,1,2022,1,False,1490.36,0.7710805972620316
2022-01-06,BR004,Monterrey,Monterrey,Starters,30,16,1273.13,339.3,False,1,2022,1,False,933.8300000000002,0.7334914737693716
2022-01-06,BR004,Monterrey,Monterrey,Main Course,30,26,4817.04,1475.35,False,1,2022,1,False,3341.69,0.6937227010778404
2022-01-06,BR004,Monterrey,Monterrey,Desserts,30,11,1445.69,207.26,False,1,2022,1,False,1238.43,0.8566359316312626
2022-01-06,BR004,Monterrey,Monterrey,Beverages,30,27,1563.46,270.68,False,1,2022,1,False,1292.78,0.8268711703529351
2022-01-06,BR004,Monterrey,Monterrey,Alcohol,30,14,1714.66,391.46,False,1,2022,1,False,1323.2,0.7716981792308679
2022-01-07,BR001,Downtown,Mexico City,Starters,70,44,3609.57,978.08,False,1,2022,1,False,2631.4900000000002,0.7290314358774037
2022-01-07,BR001,Downtown,Mexico City,Main Course,70,69,13029.74,4374.03,False,1,2022,1,False,8655.71,0.664304122722326
2022-01-07,BR001,Downtown,Mexico City,Desserts,70,27,1983.53,509.59,False,1,2022,1,False,1473.94,0.7430893407208361
2022-01-07,BR001,Downtown,Mexico City,Beverages,70,57,3655.71,681.61,False,1,2022,1,False,2974.1,0.8135492147900134
2022-01-07,BR001,Downtown,Mexico City,Alcohol,70,31,3869.32,872.92,False,1,2022,1,False,2996.4,0.7743996361117715
2022-01-07,BR002,Polanco,Mexico City,Starters,58,37,3147.64,910.11,False,1,2022,1,False,2237.5299999999997,0.710859564626196
2022-01-07,BR002,Polanco,Mexico City,Main Course,58,53,10143.73,3210.03,False,1,2022,1,False,6933.699999999999,0.6835454019379458
2022-01-07,BR002,Polanco,Mexico City,Desserts,58,20,1597.29,383.0,False,1,2022,1,False,1214.29,0.7602188707122689
2022-01-07,BR002,Polanco,Mexico City,Beverages,58,47,3023.07,568.67,False,1,2022,1,False,2454.4,0.8118899000023155
2022-01-07,BR002,Polanco,Mexico City,Alcohol,58,26,3185.81,697.27,False,1,2022,1,False,2488.54,0.781132584805748
2022-01-07,BR003,Guadalajara,Guadalajara,Starters,41,23,2008.96,576.71,False,1,2022,1,False,1432.25,0.7129310688117234
2022-01-07,BR003,Guadalajara,Guadalajara,Main Course,41,41,7721.98,2370.02,False,1,2022,1,False,5351.959999999999,0.6930813081618963
2022-01-07,BR003,Guadalajara,Guadalajara,Desserts,41,16,1115.05,280.14,False,1,2022,1,False,834.91,0.7487646293888166
2022-01-07,BR003,Guadalajara,Guadalajara,Beverages,41,34,2166.55,384.16,False,1,2022,1,False,1782.39,0.8226858369296808
2022-01-07,BR003,Guadalajara,Guadalajara,Alcohol,41,17,1923.47,434.23,False,1,2022,1,False,1489.24,0.7742465440064051
2022-01-07,BR004,Monterrey,Monterrey,Starters,45,24,1904.25,543.91,False,1,2022,1,False,1360.3400000000001,0.7143704870683997
2022-01-07,BR004,Monterrey,Monterrey,Main Course,45,39,7381.51,2410.8,False,1,2022,1,False,4970.71,0.6734001579622597
2022-01-07,BR004,Monterrey,Monterrey,Desserts,45,16,1120.29,293.7,False,1,2022,1,False,826.5899999999999,0.7378357389604477
2022-01-07,BR004,Monterrey,Monterrey,Beverages,45,37,2174.05,403.57,False,1,2022,1,False,1770.4800000000002,0.8143694947218326
2022-01-07,BR004,Monterrey,Monterrey,Alcohol,45,22,2845.29,641.82,False,1,2022,1,False,2203.47,0.77442721128602
2022-01-08,BR001,Downtown,Mexico City,Starters,73,40,3550.77,1000.02,True,1,2022,1,False,2550.75,0.7183653123125406
2022-01-08,BR001,Downtown,Mexico City,Main Course,73,68,13035.8,4009.27,True,1,2022,1,False,9026.529999999999,0.6924415839457494
2022-01-08,BR001,Downtown,Mexico City,Desserts,73,29,2004.95,499.67,True,1,2022,1,False,1505.28,0.7507818150078556
2022-01-08,BR001,Downtown,Mexico City,Beverages,73,56,3155.08,546.19,True,1,2022,1,False,2608.89,0.8268855306363071
2022-01-08,BR001,Downtown,Mexico City,Alcohol,73,33,4115.89,913.05,True,1,2022,1,False,3202.84,0.7781646253908632
2022-01-08,BR002,Polanco,Mexico City,Starters,87,50,4104.28,1191.56,True,1,2022,1,False,2912.72,0.7096786768933894
2022-01-08,BR002,Polanco,Mexico City,Main Course,87,78,15080.58,4590.36,True,1,2022,1,False,10490.220000000001,0.6956111767584536
2022-01-08,BR002,Polanco,Mexico City,Desserts,87,38,2641.68,686.25,True,1,2022,1,False,1955.4299999999998,0.7402221313709457
2022-01-08,BR002,Polanco,Mexico City,Beverages,87,74,4790.2,825.49,True,1,2022,1,False,3964.71,0.8276710784518392
2022-01-08,BR002,Polanco,Mexico City,Alcohol,87,39,5031.41,1109.47,True,1,2022,1,False,3921.9399999999996,0.7794912360551018
2022-01-08,BR003,Guadalajara,Guadalajara,Starters,52,32,2700.22,765.7,True,1,2022,1,False,1934.5199999999998,0.7164305130693054
2022-01-08,BR003,Guadalajara,Guadalajara,Main Course,52,50,9577.67,2925.54,True,1,2022,1,False,6652.13,0.6945457506888418
2022-01-08,BR003,Guadalajara,Guadalajara,Desserts,52,19,1440.635,396.83,True,1,2022,1,False,1043.805,0.7245450790797114
2022-01-08,BR003,Guadalajara,Guadalajara,Beverages,52,43,2629.59,462.79,True,1,2022,1,False,2166.8,0.8240067843275948
2022-01-08,BR003,Guadalajara,Guadalajara,Alcohol,52,21,2505.36,543.1,True,1,2022,1,False,1962.2600000000002,0.7832247661014785
2022-01-08,BR004,Monterrey,Monterrey,Starters,52,28,2560.65,751.84,True,1,2022,1,False,1808.81,0.7063870501630445
2022-01-08,BR004,Monterrey,Monterrey,Main Course,52,51,9233.02,2898.29,True,1,2022,1,False,6334.7300000000005,0.6860951238056454
2022-01-08,BR004,Monterrey,Monterrey,Desserts,52,22,1698.77,410.36,True,1,2022,1,False,1288.4099999999999,0.7584369867610093
2022-01-08,BR004,Monterrey,Monterrey,Beverages,52,47,2965.53,557.81,True,1,2022,1,False,2407.7200000000003,0.8119020883282246
2022-01-08,BR004,Monterrey,Monterrey,Alcohol,52,24,2932.26,639.82,True,1,2022,1,False,2292.44,0.7817997039825936
2022-01-09,BR001,Downtown,Mexico City,Starters,86,55,4334.82,1156.26,True,1,2022,1,False,3178.5599999999995,0.7332622807867454
2022-01-09,BR001,Downtown,Mexico City,Main Course,86,79,14926.57,5009.25,True,1,2022,1,False,9917.32,0.6644071611897442
2022-01-09,BR001,Downtown,Mexico City,Desserts,86,31,2360.02,582.98,True,1,2022,1,False,1777.04,0.7529766696892399
2022-01-09,BR001,Downtown,Mexico City,Beverages,86,79,4999.46,930.35,True,1,2022,1,False,4069.11,0.8139099022694452
2022-01-09,BR001,Downtown,Mexico City,Alcohol,86,38,4497.85,967.11,True,1,2022,1,False,3530.7400000000002,0.78498393676979
2022-01-09,BR002,Polanco,Mexico City,Starters,66,42,3748.73,1102.1,True,1,2022,1,False,2646.63,0.706007101071563
2022-01-09,BR002,Polanco,Mexico City,Main Course,66,68,12348.56,4057.83,True,1,2022,1,False,8290.73,0.6713924538569679
2022-01-09,BR002,Polanco,Mexico City,Desserts,66,28,2217.48,540.36,True,1,2022,1,False,1677.12,0.7563179825748146
2022-01-09,BR002,Polanco,Mexico City,Beverages,66,55,3104.2,584.13,True,1,2022,1,False,2520.0699999999997,0.8118259132787835
2022-01-09,BR002,Polanco,Mexico City,Alcohol,66,30,3443.7,770.62,True,1,2022,1,False,2673.08,0.7762232482504283
2022-01-09,BR003,Guadalajara,Guadalajara,Starters,52,30,2392.33,681.35,True,1,2022,1,False,1710.98,0.7151939740754829
2022-01-09,BR003,Guadalajara,Guadalajara,Main Course,52,49,9204.3,2951.31,True,1,2022,1,False,6252.99,0.679355301326554
2022-01-09,BR003,Guadalajara,Guadalajara,Desserts,52,22,1663.7,418.46,True,1,2022,1,False,1245.24,0.7484762877922703
2022-01-09,BR003,Guadalajara,Guadalajara,Beverages,52,47,2776.45,481.47,True,1,2022,1,False,2294.9799999999996,0.8265879090205117
2022-01-09,BR003,Guadalajara,Guadalajara,Alcohol,52,21,2612.07,583.97,True,1,2022,1,False,2028.1000000000001,0.7764340159337231
2022-01-09,BR004,Monterrey,Monterrey,Starters,54,30,2401.64,639.81,True,1,2022,1,False,1761.83,0.7335945437284522
2022-01-09,BR004,Monterrey,Monterrey,Main Course,54,49,8946.89,2832.15,True,1,2022,1,False,6114.74,0.6834486620490472
2022-01-09,BR004,Monterrey,Monterrey,Desserts,54,21,1676.85,412.85,True,1,2022,1,False,1264.0,0.7537943167248115
2022-01-09,BR004,Monterrey,Monterrey,Beverages,54,46,2885.26,513.97,True,1,2022,1,False,2371.29,0.8218635408940614
2022-01-09,BR004,Monterrey,Monterrey,Alcohol,54,24,3046.98,700.47,True,1,2022,1,False,2346.51,0.7701100762066047
2022-01-10,BR001,Downtown,Mexico City,Starters,45,29,2461.89,672.66,False,1,2022,1,False,1789.23,0.726770895531482
2022-01-10,BR001,Downtown,Mexico City,Main Course,45,42,8140.65,2603.08,False,1,2022,1,False,5537.57,0.6802368361248795
2022-01-10,BR001,Downtown,Mexico City,Desserts,45,17,1302.21,317.09,False,1,2022,1,False,985.1200000000001,0.7564985678193226
2022-01-10,BR001,Downtown,Mexico City,Beverages,45,35,1975.3,342.33,False,1,2022,1,False,1632.97,0.8266946792892219
2022-01-10,BR001,Downtown,Mexico City,Alcohol,45,18,2035.18,454.05,False,1,2022,1,False,1581.13,0.776899340598866
2022-01-10,BR002,Polanco,Mexico City,Starters,46,26,2350.3,656.37,False,1,2022,1,False,1693.9300000000003,0.7207292686040081
2022-01-10,BR002,Polanco,Mexico City,Main Course,46,45,7675.33,2380.53,False,1,2022,1,False,5294.799999999999,0.6898465603433337
2022-01-10,BR002,Polanco,Mexico City,Desserts,46,16,4540.147392479679,277.82,False,1,2022,1,False,4262.3273924796795,0.938808154012757
2022-01-10,BR002,Polanco,Mexico City,Beverages,46,36,2017.86,349.43,False,1,2022,1,False,1668.4299999999998,0.8268313956369618
2022-01-10,BR002,Polanco,Mexico City,Alcohol,46,20,2287.23,496.36,False,1,2022,1,False,1790.87,0.7829864071387661
2022-01-10,BR003,Guadalajara,Guadalajara,Starters,34,21,1653.43,476.82,False,1,2022,1,False,1176.6100000000001,0.7116176675154074
2022-01-10,BR003,Guadalajara,Guadalajara,Main Course,34,33,5542.5,1839.86,False,1,2022,1,False,3702.6400000000003,0.6680451059990979
2022-01-10,BR003,Guadalajara,Guadalajara,Desserts,34,14,976.26,238.62,False,1,2022,1,False,737.64,0.755577407657796
2022-01-10,BR003,Guadalajara,Guadalajara,Beverages,34,30,1871.5,326.24,False,1,2022,1,False,1545.26,0.8256799358803099
2022-01-10,BR003,Guadalajara,Guadalajara,Alcohol,34,14,1645.18,361.38,False,1,2022,1,False,1283.8000000000002,0.7803401451512905
2022-01-10,BR004,Monterrey,Monterrey,Starters,35,20,1689.81,484.86,False,1,2022,1,False,1204.9499999999998,0.7130683331262093
2022-01-10,BR004,Monterrey,Monterrey,Main Course,35,30,5186.11,1694.96,False,1,2022,1,False,3491.1499999999996,0.6731731490462022
2022-01-10,BR004,Monterrey,Monterrey,Desserts,35,15,1127.1,282.68,False,1,2022,1,False,844.4199999999998,0.7491970543873657
2022-01-10,BR004,Monterrey,Monterrey,Beverages,35,27,2498.07,290.09,False,1,2022,1,False,2207.98,0.8838743509989712
2022-01-10,BR004,Monterrey,Monterrey,Alcohol,35,14,1617.97,351.59,False,1,2022,1,False,1266.38,0.7826968361588905
2022-01-11,BR001,Downtown,Mexico City,Starters,43,24,1945.82,535.43,False,1,2022,1,False,1410.3899999999999,0.7248306626512215
2022-01-11,BR001,Downtown,Mexico City,Main Course,43,37,7076.15,2285.56,False,1,2022,1,False,4790.59,0.6770051511061806
2022-01-11,BR001,Downtown,Mexico City,Desserts,43,17,1333.99,333.45,False,1,2022,1,False,1000.54,0.7500356074633243
2022-01-11,BR001,Downtown,Mexico City,Beverages,43,33,1991.76,361.63,False,1,2022,1,False,1630.13,0.8184369602763386
2022-01-11,BR001,Downtown,Mexico City,Alcohol,43,20,2373.76,502.78,False,1,2022,1,False,1870.9800000000002,0.7881925721218658
